# variable_id: VAR_GCC_REAL_GDP_GROWTH_BY_COUNTRY
# display_name: GCC Real GDP Growth by Country (%)
# units: percentage_points
# scale: native
# source: IMF World Economic Outlook
# extracted_from: IMF WEO database
# last_refreshed: 2026-05-06
country,year,value
United Arab Emirates,1988,-2.6
United Arab Emirates,1989,15.7
United Arab Emirates,1990,23.6
United Arab Emirates,1991,2.2
United Arab Emirates,1992,3.1
United Arab Emirates,1993,0.3
United Arab Emirates,1994,7.4
United Arab Emirates,1995,6.6
United Arab Emirates,1996,5.4
United Arab Emirates,1997,8.6
United Arab Emirates,1998,0.9
United Arab Emirates,1999,3.8
United Arab Emirates,2000,12.3
United Arab Emirates,2001,1.4
United Arab Emirates,2002,2.4
United Arab Emirates,2003,8.8
United Arab Emirates,2004,9.6
United Arab Emirates,2005,4.9
United Arab Emirates,2006,9.8
United Arab Emirates,2007,3.2
United Arab Emirates,2008,3.2
United Arab Emirates,2009,-5.2
United Arab Emirates,2010,5.3
United Arab Emirates,2011,6.2
United Arab Emirates,2012,1.8
United Arab Emirates,2013,5.1
United Arab Emirates,2014,4.2
United Arab Emirates,2015,6.8
United Arab Emirates,2016,5.6
United Arab Emirates,2017,0.7
United Arab Emirates,2018,1.3
United Arab Emirates,2019,1.1
United Arab Emirates,2020,-5.0
United Arab Emirates,2021,4.4
United Arab Emirates,2022,7.5
United Arab Emirates,2023,3.6
United Arab Emirates,2024,4.0
