# variable_id: VAR_GCC_NOMINAL_GDP_BY_COUNTRY
# display_name: GCC Nominal GDP by Country (USD billions)
# units: usd_billions
# scale: native
# source: IMF World Economic Outlook
# extracted_from: IMF WEO database
# last_refreshed: 2026-05-06
country,year,value
United Arab Emirates,1989,39.325
United Arab Emirates,1990,50.682
United Arab Emirates,1991,49.3
United Arab Emirates,1992,51.952
United Arab Emirates,1993,52.144
United Arab Emirates,1994,57.395
United Arab Emirates,1995,63.432
United Arab Emirates,1996,72.853
United Arab Emirates,1997,77.167
United Arab Emirates,1998,75.304
United Arab Emirates,1999,84.42
United Arab Emirates,2000,102.987
United Arab Emirates,2001,103.312
United Arab Emirates,2002,109.816
United Arab Emirates,2003,124.346
United Arab Emirates,2004,147.812
United Arab Emirates,2005,180.616
United Arab Emirates,2006,222.117
United Arab Emirates,2007,257.883
United Arab Emirates,2008,315.464
United Arab Emirates,2009,253.547
United Arab Emirates,2010,300.189
United Arab Emirates,2011,360.833
United Arab Emirates,2012,384.61
United Arab Emirates,2013,400.219
United Arab Emirates,2014,414.105
United Arab Emirates,2015,370.276
United Arab Emirates,2016,369.255
United Arab Emirates,2017,390.517
United Arab Emirates,2018,427.049
United Arab Emirates,2019,417.99
United Arab Emirates,2020,349.473
United Arab Emirates,2021,415.179
United Arab Emirates,2022,502.732
United Arab Emirates,2023,514.13
United Arab Emirates,2024,545.053
